"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","displays two todo items by default","example to-do app","2026-02-11","passed","2026-02-11","","","",""
"","85","pass your own callback function to should()","Assertions","2026-02-11","passed","2026-02-11","","Explicit Assertions","",""
"","97",".find() - get descendant DOM elements of the selector","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","109","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-02-11","passed","2026-02-11","","","",""
"","84",".invoke() - invoke a function on the current subject","Connectors","2026-02-11","passed","2026-02-11","","","",""
"","798","cy.screenshot() - take a screenshot","Misc","2026-02-11","passed","2026-02-11","","Cypress.Screenshot","",""
"","590","best practices - selecting elements","Querying","2026-02-11","passed","2026-02-11","","","",""
"","248","cy.request() - pass result to the second request","Network Requests","2026-02-11","passed","2026-02-11","","","",""
"","85",".eq() - get a DOM element at a specific index","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","78","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-02-11","passed","2026-02-11","","","",""
"","124",".focus() - focus on a DOM element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","88","cy.location() - get window.location","Location","2026-02-11","passed","2026-02-11","","","",""
"","84",".parents() - get parent DOM elements from DOM elements","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","372",".blur() - blur off a DOM element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","78",".parent() - get parent DOM element from DOM elements","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","384","cy.request() - make an XHR request","Network Requests","2026-02-11","passed","2026-02-11","","","",""
"","71",".spread() - spread an array as individual args to callback function","Connectors","2026-02-11","passed","2026-02-11","","","",""
"","312","cy.getCookie() - get a browser cookie","Cookies","2026-02-11","passed","2026-02-11","","","",""
"","89","finds element by class name regex","Assertions","2026-02-11","passed","2026-02-11","","Explicit Assertions","",""
"","333","cy.reload() - reload the page","Navigation","2026-02-11","passed","2026-02-11","","","",""
"","88","invokes a callback function with the current subject","Connectors","2026-02-11","passed","2026-02-11","",".then()","",""
"","447","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-02-11","passed","2026-02-11","","","",""
"","69","Get underlying OS name","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.platform","",""
"","4459","cy.wait() - wait for a specific amount of time","Waiting","2026-02-11","passed","2026-02-11","","","",""
"","84","Get and set configuration options","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.config()","",""
"","2525","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-02-11","passed","2026-02-11","","","",""
"","166","can check off an item as completed","example to-do app","2026-02-11","passed","2026-02-11","","","",""
"","120",".trigger() - trigger an event on a DOM element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","160","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-11","passed","2026-02-11","","","",""
"","186","Cypress.$ - call a jQuery method","Utilities","2026-02-11","passed","2026-02-11","","","",""
"","905","cy.exec() - execute a system command","Misc","2026-02-11","passed","2026-02-11","","","",""
"","78","can throw any error","Assertions","2026-02-11","passed","2026-02-11","","Explicit Assertions","",""
"","245","can filter for uncompleted tasks","example to-do app","2026-02-11","passed","2026-02-11","","with a checked task","",""
"","82",".within() - query DOM elements within a specific element","Querying","2026-02-11","passed","2026-02-11","","","",""
"","395",".as() - alias a DOM element for later use","Aliasing","2026-02-11","passed","2026-02-11","","","",""
"","490",".clear() - clears an input or textarea element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","78",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","95","cy.readFile() - read file contents","Files","2026-02-11","passed","2026-02-11","","","",""
"","184",".add() - create a custom command","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.Commands","",""
"","78","cy.root() - query the root DOM element","Querying","2026-02-11","passed","2026-02-11","","","",""
"","74","cy.wrap() - wrap an object","Misc","2026-02-11","passed","2026-02-11","","","",""
"","161","cy.hash() - get the current URL hash","Location","2026-02-11","passed","2026-02-11","","","",""
"","175","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-02-11","passed","2026-02-11","","","",""
"","169","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-02-11","passed","2026-02-11","","","",""
"","100","cy.setCookie() - set a browser cookie","Cookies","2026-02-11","passed","2026-02-11","","","",""
"","81",".prev() - get previous sibling DOM element","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","27","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-02-11","passed","2026-02-11","","","",""
"","65","cy.url() - get the current URL","Location","2026-02-11","passed","2026-02-11","","","",""
"","82",".filter() - get DOM elements that match the selector","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","287","cy.visit() - visit a remote url","Navigation","2026-02-11","passed","2026-02-11","","","",""
"","183","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","2026-02-11","passed","2026-02-11","","","",""
"","188","cy.clearCookie() - clear a browser cookie","Cookies","2026-02-11","passed","2026-02-11","","","",""
"","367",".submit() - submit a form","Actions","2026-02-11","passed","2026-02-11","","","",""
"","79",".last() - get last DOM element","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","158","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-02-11","passed","2026-02-11","","","",""
"","221","cy.get() - query DOM elements","Querying","2026-02-11","passed","2026-02-11","","","",""
"","261","cy.focused() - get the DOM element that has focus","Misc","2026-02-11","passed","2026-02-11","","","",""
"","831",".select() - select an option in a <select> element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","833","cy.go() - go back or forward in the browser's history","Navigation","2026-02-11","passed","2026-02-11","","","",""
"","174","cy.window() - get the global window object","Window","2026-02-11","passed","2026-02-11","","","",""
"","402","cy.intercept() - route responses to matching requests","Network Requests","2026-02-11","passed","2026-02-11","","","",""
"","80",".prevAll() - get all previous sibling DOM elements","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","64","Control what is printed to the Command Log","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.log","",""
"","461","Cypress._ - call a lodash method","Utilities","2026-02-11","passed","2026-02-11","","","",""
"","2109","cy.scrollTo() - scroll the window or element to a position","Actions","2026-02-11","passed","2026-02-11","","","",""
"","187",".dblclick() - double click on a DOM element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","179",".each() - iterate over an array of elements","Connectors","2026-02-11","passed","2026-02-11","","","",""
"","1580","retries the should callback until assertions pass","Assertions","2026-02-11","passed","2026-02-11","","Explicit Assertions","",""
"","71","Get current version of Cypress being run","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.version","",""
"","79","yields the original subject without return","Connectors","2026-02-11","passed","2026-02-11","",".then()","",""
"","97",".its() - get properties on the current subject","Connectors","2026-02-11","passed","2026-02-11","","","",""
"","77","yields the value yielded by the last Cypress command inside","Connectors","2026-02-11","passed","2026-02-11","",".then()","",""
"","75","Get current spec information","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.spec","",""
"","3685",".type() - type into a DOM element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","98",".and() - chain multiple assertions together","Assertions","2026-02-11","passed","2026-02-11","","Implicit Assertions","",""
"","74","assert - assert shape of an object","Assertions","2026-02-11","passed","2026-02-11","","Explicit Assertions","",""
"","1929",".click() - click on a DOM element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","128","cy.getAllCookies() - get all browser cookies","Cookies","2026-02-11","passed","2026-02-11","","","",""
"","81","Get environment variables","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.env()","",""
"","78","Get CPU architecture name of underlying OS","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.arch","",""
"","167","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-02-11","passed","2026-02-11","","","",""
"","81",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","75","yields the returned value to the next command","Connectors","2026-02-11","passed","2026-02-11","",".then()","",""
"","220","cy.wait() - wait for a specific route","Waiting","2026-02-11","passed","2026-02-11","","","",""
"","243","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-02-11","passed","2026-02-11","","","",""
"","224","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-02-11","passed","2026-02-11","","","",""
"","104",".debug() - enable or disable debugging","Cypress APIs","2026-02-11","passed","2026-02-11","","Cypress.Cookies","",""
"","82",".siblings() - get all sibling DOM elements","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","392","can add new todo items","example to-do app","2026-02-11","passed","2026-02-11","","","",""
"","247","can filter for completed tasks","example to-do app","2026-02-11","passed","2026-02-11","","with a checked task","",""
"","83","cy.fixture() or require - load a fixture","Files","2026-02-11","passed","2026-02-11","","","",""
"","164",".rightclick() - right click on a DOM element","Actions","2026-02-11","passed","2026-02-11","","","",""
"","105",".scrollIntoView() - scroll an element into view","Actions","2026-02-11","passed","2026-02-11","","","",""
"","68","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-02-11","passed","2026-02-11","","Cypress.Screenshot","",""
"","20","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-02-11","passed","2026-02-11","","","",""
"","240","cy.request() - verify response using BDD syntax","Network Requests","2026-02-11","passed","2026-02-11","","","",""
"","283","cy.fixture() - load a fixture","Files","2026-02-11","passed","2026-02-11","","","",""
"","94",".closest() - get closest ancestor DOM element","Traversal","2026-02-11","passed","2026-02-11","","","",""
"","82",".nextAll() - get all next sibling DOM elements","Traversal","2026-02-11","passed","2026-02-11","","","",""
